Rank,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
75,Marcus Morris,SF,26,DET,80,80,35.7,5.1,11.8,0.434,1.4,3.7,0.362,3.8,8.1,0.467,0.491,2.5,3.4,0.749,1.1,3.9,5.1,2.5,0.8,0.3,1.8,2.1,14.1
76,Jabari Parker,PF,20,MIL,76,72,31.7,5.8,11.8,0.493,0.1,0.5,0.257,5.7,11.4,0.502,0.498,2.3,3,0.768,1.6,3.6,5.2,1.7,0.9,0.4,1.5,2,14.1
77,Deron Williams,PG,31,DAL,65,63,32.4,4.9,11.9,0.414,1.5,4.3,0.344,3.4,7.6,0.454,0.477,2.8,3.2,0.869,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1
78,Darren Collison,PG,28,SAC,74,15,30,5.1,10.5,0.486,1.2,2.9,0.401,3.9,7.6,0.519,0.542,2.6,3.1,0.858,0.4,1.9,2.3,4.3,1,0.1,1.8,1.9,14
79,Draymond Green,PF,25,GSW,81,81,34.7,5,10.1,0.49,1.2,3.2,0.388,3.7,6.9,0.537,0.551,2.8,4.1,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3,14
80,Zach LaVine,SG,20,MIN,82,33,28,5.3,11.7,0.452,1.5,3.9,0.389,3.8,7.8,0.482,0.516,2,2.5,0.793,0.3,2.5,2.8,3.1,0.8,0.2,1.9,2.4,14
81,Devin Booker,SG,19,PHO,76,51,27.7,4.8,11.4,0.423,1.3,3.8,0.343,3.5,7.6,0.464,0.48,2.8,3.4,0.84,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3,13.8
82,Monta Ellis,SG,30,IND,81,81,33.8,5.4,12.6,0.427,1.1,3.5,0.309,4.3,9.1,0.472,0.47,2,2.5,0.786,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8
83,Dwight Howard,C,30,HOU,71,71,32.1,5.2,8.5,0.62,0,0.1,0,5.2,8.4,0.626,0.62,3.3,6.7,0.489,3.4,8.4,11.8,1.4,1,1.6,2.3,3.1,13.7
84,Chandler Parsons,SF,27,DAL,61,51,29.5,5.2,10.7,0.492,1.7,4.1,0.414,3.5,6.6,0.54,0.571,1.5,2.2,0.684,0.5,4.2,4.7,2.8,0.8,0.3,1.6,1.9,13.7
85,Marcin Gortat,C,31,WAS,75,74,30.1,5.8,10.2,0.567,0,0,0,5.8,10.2,0.567,0.567,1.9,2.8,0.705,3,6.9,9.9,1.4,0.6,1.3,1.6,2.6,13.5
86,Alec Burks,SG,24,UTA,31,3,25.7,4.4,10.8,0.41,1,2.5,0.405,3.4,8.2,0.412,0.458,3.4,4.5,0.752,0.5,3,3.5,2,0.6,0.1,1.6,2.3,13.3
87,D'Angelo Russell,PG,19,LAL,80,48,28.2,4.9,12,0.41,1.6,4.6,0.351,3.3,7.3,0.447,0.478,1.8,2.4,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2
88,Dahntay Jones,SF,35,CLE,1,0,42,6,14,0.429,1,2,0.5,5,12,0.417,0.464,0,0,,1,4,5,2,1,2,0,6,13
89,Arron Afflalo,SG,30,NYK,71,57,33.4,5,11.3,0.443,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2,0.4,0.1,1.2,2,12.8
90,Michael Beasley,SF,27,HOU,20,0,18.2,5.4,10.3,0.522,0.2,0.5,0.333,5.2,9.8,0.531,0.529,1.9,2.5,0.776,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2,12.8
91,Robert Covington,SF,25,PHI,67,49,28.4,4.1,10.6,0.385,2.5,7.2,0.353,1.6,3.4,0.452,0.504,2.1,2.6,0.791,1,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8
92,Jarrett Jack,PG,32,BRK,32,32,32.1,4.4,11.2,0.391,1,3.2,0.304,3.4,8,0.426,0.434,3.1,3.5,0.893,0.3,4,4.3,7.4,1.1,0.2,2.9,2.4,12.8
93,Emmanuel Mudiay,PG,19,DEN,68,66,30.4,4.8,13.3,0.364,1.1,3.4,0.319,3.8,9.9,0.379,0.404,2.1,3.1,0.67,0.5,2.9,3.4,5.5,1,0.5,3.2,2.1,12.8
94,Jonas Valanciunas,C,23,TOR,60,59,26,5.1,8.9,0.565,0,0,,5.1,8.9,0.565,0.565,2.7,3.6,0.761,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,12.8
95,Trevor Ariza,SF,30,HOU,81,81,35.3,4.4,10.6,0.416,2.3,6.2,0.371,2.1,4.4,0.478,0.523,1.6,2,0.783,0.8,3.7,4.5,2.3,2,0.3,1.4,2.2,12.7
96,DeAndre Jordan,C,27,LAC,77,77,33.7,4.6,6.6,0.703,0,0,0,4.6,6.6,0.704,0.703,3.5,8,0.43,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,12.7
97,Enes Kanter,C,23,OKC,82,1,21,5,8.8,0.576,0.1,0.3,0.476,4.9,8.5,0.579,0.583,2.4,3.1,0.797,3,5.1,8.1,0.4,0.3,0.4,1.4,2,12.7
98,Michael Kidd-Gilchrist,SF,22,CHO,7,7,29.3,4.7,8.7,0.541,0.4,1,0.429,4.3,7.7,0.556,0.566,2.9,4.1,0.69,1.7,4.7,6.4,1.3,0.4,0.4,1.1,1.3,12.7
99,Serge Ibaka,PF,26,OKC,78,78,32.1,5.3,11.1,0.479,0.8,2.4,0.326,4.6,8.8,0.52,0.513,1.2,1.6,0.752,1.8,5,6.8,0.8,0.5,1.9,1.4,2.7,12.6
100,Ish Smith,PG,27,TOT,77,53,29.1,5.2,12.6,0.411,0.7,2.2,0.329,4.4,10.4,0.428,0.44,1.6,2.3,0.693,0.6,3.4,4,6.5,1.1,0.3,2.3,1.7,12.6
